  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
192607,0.42,-0.81,-0.17
192608,5.59,6.15,6.48
192609,0.1,0.88,3.93
192610,-2.83,-3.23,-1.88
192611,2.8,2.44,2.66
192612,1.8,1.42,1.54
192701,4,5.21,8.7
192702,8.56,9.57,10.51
192703,-3.3,-3.38,-2.75
192704,2.88,3.85,1.55
192705,10.25,10.61,9.27
192706,-1.54,-1.7,-0.49
192707,5.08,5.52,4.18
192708,-0.66,-0.18,0.14
192709,2.52,1.91,1.25
192710,-7.31,-8.79,-9.06
192711,10.91,11.85,12.44
192712,3.51,3.15,1.89
192801,4.74,5.99,8.84
192802,-3.43,-4.32,-5.14
192803,8.12,10.52,10.81
192804,11.52,15.28,23.04
192805,3.84,4.02,3.63
192806,-7.53,-7.95,-6.23
192807,-0.47,-1.08,-0.73
192808,4.32,5.07,1.61
192809,7.69,9.89,9.87
192810,1.57,1.21,-0.31
192811,11.7,12.67,9.72
192812,-2.17,-2.62,-2.09
192901,3.07,2.82,4.8
192902,0.44,0.58,0.54
192903,-3.5,-3.25,-2.76
192904,0.47,0.43,-0.63
192905,-11.55,-10.74,-10.25
192906,5.68,5.38,3.51
192907,2.63,3.86,2.03
192908,0.76,-1.28,-2.2
192909,-5.19,-5.29,-3.59
192910,-16.96,-17.4,-17.41
192911,-12.27,-13.18,-13.93
192912,-2.85,-3.54,-4.24
193001,11.06,13.72,12.69
193002,3.53,4.31,2.89
193003,13.53,14.49,16.69
193004,-6.53,-7.34,-9.85
193005,-4.86,-5.42,-5.64
193006,-17.52,-18.67,-19.98
193007,2.9,1.71,-1.56
193008,-3.44,-3.76,-3.18
193009,-18.65,-18.5,-17.55
193010,-8.97,-8.01,-4.7
193011,-3.09,-3.31,-2.83
193012,-18.96,-21,-21.95
193101,20.97,23.08,26.4
193102,20.66,22.29,14.79
193103,-5.69,-4.14,-1.94
193104,-17.22,-17.87,-17.04
193105,-15.88,-15.79,-15.09
193106,24.94,25.37,27.24
193107,-5.47,-5.48,-4.38
193108,-3.73,-4.44,-6.64
193109,-32.22,-31.13,-27.47
193110,10.88,10.32,8.4
193111,-9.21,-9.84,-7.58
193112,-23.75,-23.63,-26.58
193201,15.96,17.12,20.07
193202,0.86,1.37,0.48
193203,-11.03,-10.78,-10.06
193204,-17.64,-18.67,-18.82
193205,-14.76,-12.91,-8.13
193206,3.67,5.05,1.9
193207,63.47,65.42,63.05
193208,93.15,102.23,109.39
193209,-11.37,-12.05,-11.41
193210,-21.05,-20.37,-20.23
